sep=,
"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T56786","Копирование большого количества файлов","nikitra123@gmail.com","C3288","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Untested","","","Performance",""
"T56798","Копирование файла большого объема","nikitra123@gmail.com","C3289","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Untested","","","Performance",""
"T56810","Копирование файла с длинным названием","nikitra123@gmail.com","C3290","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Untested","","","Performance",""
"T56882","Копирование архива с паролем","nikitra123@gmail.com","C3296","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Безопасность","1","","Untested","","","Security",""
"T56894","Копирование в ту же папку , откуда происходит копирование","nikitra123@gmail.com","C3297","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные тесты","1","","Untested","","","Functional",""
"T56906","Копирование в несколько пунктов копирования одновременно","nikitra123@gmail.com","C3298","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные тесты","1","","Untested","","","Functional",""
"T58272","Копирование файла","nikitra123@gmail.com","C3120","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55813","Юзкейс 1. Копирование","nikitra123@gmail.com","C3211","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Erofeeva","0","","Untested","","","Functional",""
"T55970","Юзкейс 2. Удаление","nikitra123@gmail.com","C3226","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Erofeeva","0","","Untested","","","Functional",""
"T56210","Локализация","nikitra123@gmail.com","C3250","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нефункциональные тесты","1","","Untested","","","Accessibility",""
"T58081","Наличие возможности перертащить файлы в программу","nikitra123@gmail.com","C3402","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нефункциональные тесты","1","","Untested","","","Accessibility",""
"T56190","Наличие возможности выбора нескольких файлов для добавления в программу","nikitra123@gmail.com","C3248","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нефункциональные тесты","1","","Untested","","","Accessibility",""
"T56180","Наличие возможность сразу скопировать файлы, которые добавила в программу","nikitra123@gmail.com","C3247","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нефункциональные тесты","1","","Untested","","","Accessibility",""
"T56200","Наличие возможности выбрать все файлы для копирования","nikitra123@gmail.com","C3249","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Нефункциональные тесты","1","","Untested","","","Accessibility",""
"T55609","Удаление файла","nikitra123@gmail.com","C3194","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55833","Копирование файла","nikitra123@gmail.com","C3213","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55873","Удаление файла после копирования","nikitra123@gmail.com","C3217","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55649","Копирование файла большого размера","nikitra123@gmail.com","C3198","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55639","Копирование файла с длинным названием","nikitra123@gmail.com","C3197","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T56290","Добавление файлов в два этапа","nikitra123@gmail.com","C3255","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57046","Копирование файлов в два этапа","nikitra123@gmail.com","C3306","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55629","Удаление нескольких файлов","nikitra123@gmail.com","C3196","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55863","Удаление нескольких файлов выборочно из списка","nikitra123@gmail.com","C3216","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55619","Копирование нескольких файлов разного формата","nikitra123@gmail.com","C3195","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T55883","Удаление нескольких файлов после копирования","nikitra123@gmail.com","C3218","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T56000","! C:\ -> D:\ Копирование файла","nikitra123@gmail.com","C3229","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57106","C:\ -> D:\ Копирование файла большого размера","nikitra123@gmail.com","C3311","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57118","C:\ -> D:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3312","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T56020","C:\ -> D:\ Копирование нескольких файлов","nikitra123@gmail.com","C3231","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57436","D:\ Добавление в программу файлов с диска D","nikitra123@gmail.com","C3345","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T56010","! D:\ -> C:\ Копирование файла","nikitra123@gmail.com","C3230","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57178","D:\ -> C:\ Копирование файла большого размера","nikitra123@gmail.com","C3317","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57190","D:\ -> C:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3318","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T56030","D:\ -> C:\ Копирование нескольких файлов","nikitra123@gmail.com","C3232","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57232","! C:\ -> E:\ Копирование файла","nikitra123@gmail.com","C3319","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57233","C:\ -> E:\ Копирование файла большого размера","nikitra123@gmail.com","C3320","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57234","C:\ -> E:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3321","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57235","C:\ -> E:\ Копирование нескольких файлов","nikitra123@gmail.com","C3322","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57700","E:\ Добавление в программу файлов со съемного диска E","nikitra123@gmail.com","C3358","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57478","! E:\ -> C:\ Копирование файла","nikitra123@gmail.com","C3346","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57479","E:\ -> C:\ Копирование файла большого размера","nikitra123@gmail.com","C3347","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57480","E:\ -> C:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3348","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57481","E:\ -> C:\ Копирование нескольких файлов","nikitra123@gmail.com","C3349","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57562","! D:\ -> E:\ Копирование файла","nikitra123@gmail.com","C3350","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57563","D:\ -> E:\ Копирование файла большого размера","nikitra123@gmail.com","C3351","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57564","D:\ -> E:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3352","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57565","D:\ -> E:\ Копирование нескольких файлов","nikitra123@gmail.com","C3353","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57646","! E:\ -> D:\ Копирование файла","nikitra123@gmail.com","C3354","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57647","E:\ -> D:\ Копирование файла большого размера","nikitra123@gmail.com","C3355","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57648","E:\ -> D:\ Копирование файла с длинным названием","nikitra123@gmail.com","C3356","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T57649","E:\ -> D:\ Копирование нескольких файлов","nikitra123@gmail.com","C3357","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Позитивные","2","","Untested","","","Functional",""
"T58094","Копирование одного файла дважды","nikitra123@gmail.com","C3403","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные","2","","Untested","","","Destructive",""
"T56050","Копирование файла в ту же папку","nikitra123@gmail.com","C3234","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные","2","","Untested","","","Destructive",""
"T55843","Копирование удаленного файла из списка","nikitra123@gmail.com","C3214","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные","2","","Untested","","","Destructive",""
"T56100","C:\ -> E:\ Копирование файла, когда диск не подключен","nikitra123@gmail.com","C3239","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные","2","","Untested","","","Destructive",""
"T56090","E:\ -> C:\ Копирование файла, когда диск не подключен","nikitra123@gmail.com","C3238","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Негативные","2","","Untested","","","Destructive",""
"T56140","Копирование запароленного файла","nikitra123@gmail.com","C3243","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Тесты безопасности","1","","Untested","","","Security",""
"T58273","копирование","nikitra123@gmail.com","C3122","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функциональные","1","","Untested","","","Functional",""
"T58277","Копирование файлов","nikitra123@gmail.com","C3128","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55323","Копирование нескольких файлов(разный формат)","nikitra123@gmail.com","C3164","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55359","Добавляем единоразово несколько файлов в список","nikitra123@gmail.com","C3168","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55377","Удалить файл из списка","nikitra123@gmail.com","C3170","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55386","Удалить единоразово сразу несколько файлов из списка","nikitra123@gmail.com","C3171","","","","","","","","","Low","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55395","Копирование программы","nikitra123@gmail.com","C3172","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T55458","Пробуем приостановить копирование","nikitra123@gmail.com","C3179","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55476","Копирование скрытого файла","nikitra123@gmail.com","C3181","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55521","Копирование файла из запароленной папки","nikitra123@gmail.com","C3186","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55575","Копирование пустого файла (0 КБ)","nikitra123@gmail.com","C3192","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55893","Копирование файла размером 0кб.","nikitra123@gmail.com","C3219","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T55404","Проверка размера кнопок","nikitra123@gmail.com","C3173","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Non Functional","1","","Untested","","","Functional",""
"T55413","Проверка языка интерфейса","nikitra123@gmail.com","C3174","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Non Functional","1","","Untested","","","Functional",""
"T55422","Проверка работоспособности кнопок","nikitra123@gmail.com","C3175","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Non Functional","1","","Untested","","","Functional",""
"T56677","Проверка пунктуации и грамматики","nikitra123@gmail.com","C3279","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Non Functional","1","","Untested","","","Other",""
"T55431","Копирование тяжелого файла(от 2 ГБ)","nikitra123@gmail.com","C3176","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Performance",""
"T55440","Копирование сразу большого количества файлов(30 шт)","nikitra123@gmail.com","C3177","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Functional",""
"T55449","Копирование файла с большим названием(70 символов)","nikitra123@gmail.com","C3178","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Functional",""
"T57298","Осмотр основного окна программы.","nikitra123@gmail.com","C3324","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Non-Functional","1","","Untested","","","Other",""
"T55599","Создание папки для скопированных файлов.","nikitra123@gmail.com","C3193","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Non-Functional","1","","Untested","","","Functional",""
"T58276","Копирование одиночного файла.","nikitra123@gmail.com","C3126","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55793","Удаление одиночного файла. Удаление группы файлов одного формата.","nikitra123@gmail.com","C3209","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T57310","Копирование файла с очень длинным названием.","nikitra123@gmail.com","C3325","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T57322","Копирование скрытых файлов.","nikitra123@gmail.com","C3326","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T55699","Копирование группы файлов, одного формата.","nikitra123@gmail.com","C3203","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T55773","Копирование группы файлов, одного формата, но разного размера.","nikitra123@gmail.com","C3207","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T55783","Копирование группы файлов разного формата и размера.","nikitra123@gmail.com","C3208","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T57346","Удаление большого количества файлов (50 файлов).","nikitra123@gmail.com","C3328","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Other",""
"T57334","Копирование большого количества файлов (50 файлов).","nikitra123@gmail.com","C3327","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Other",""
"T55913","Копирование крупного файла размером 16 805 439Кб","nikitra123@gmail.com","C3221","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Other",""
"T55923","Копирование группы файлов, общим размером 50 416 317кб.","nikitra123@gmail.com","C3222","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Perfomance","1","","Untested","","","Other",""
"T56468","Идентификатор тест плана. Введение.","nikitra123@gmail.com","C3260","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Кovrik","1","","Untested","","","Other",""
"T56479","Проблемы и риски. Поиск кадров для тестирования.","nikitra123@gmail.com","C3261","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Кovrik","1","","Untested","","","Other",""
"T56589","Функции которые нужно тестировать. Функции которые не нужно тестировать.","nikitra123@gmail.com","C3271","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Кovrik","1","","Untested","","","Other",""
"T56490","Заказ и получение объекта тестирования.","nikitra123@gmail.com","C3262","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функциональные тесты.","2","","Untested","","","Other",""
"T56501","Тестирование размера.","nikitra123@gmail.com","C3263","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функциональные тесты.","2","","Untested","","","Other",""
"T56512","Тестирование прочности.","nikitra123@gmail.com","C3264","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функциональные тесты.","2","","Untested","","","Other",""
"T56523","Тестирование цвета и качества окраски.","nikitra123@gmail.com","C3265","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функциональные тесты.","2","","Untested","","","Other",""
"T56534","Химический анализ каучука и металла.","nikitra123@gmail.com","C3266","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функциональные тесты.","2","","Untested","","","Other",""
"T56545","Тестирование лечебного эффекта при мышечных спазмах в спине. (1 месяц)","nikitra123@gmail.com","C3267","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функциональные тесты","2","","Untested","","","Other",""
"T56556","Тестирование лечебного эффекта при при неврологических симптомах остеохондроза пояснично-крестцового отдела позвоночника. (1 месяц)","nikitra123@gmail.com","C3268","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функциональные тесты","2","","Untested","","","Other",""
"T56567","Тестирование лечебного эффекта при головных и зубных болях. (2 недели)","nikitra123@gmail.com","C3269","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функциональные тесты","2","","Untested","","","Other",""
"T56578","Тестирование эффективности при восстановлении после инсультов. (2 месяца)","nikitra123@gmail.com","C3270","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функциональные тесты","2","","Untested","","","Other",""
"T56600","Тестирование эффективности при переломах верхних и нижних конечностей. (1 месяц)","nikitra123@gmail.com","C3272","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функциональные тесты","2","","Untested","","","Other",""
"T56611","Тестирование коврика для использования в роли коврика для компьютерной мыши.","nikitra123@gmail.com","C3273","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты.","2","","Untested","","","Other",""
"T57286","Документация к приложению.","nikitra123@gmail.com","C3323","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","VendorMachine","1","","Untested","","","Other",""
"T56622","Первый запуск и заполнение заказа.","nikitra123@gmail.com","C3274","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Базовые тесты.","2","","Untested","","","Other",""
"T56633","Удаление одиночного заказа из списка заказов.","nikitra123@gmail.com","C3275","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Базовые тесты.","2","","Untested","","","Other",""
"T56644","Проверка максимальной длины очереди заказа. Очистка очереди заказа.","nikitra123@gmail.com","C3276","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Базовые тесты.","2","","Untested","","","Other",""
"T56655","Добавление в очередь Nuka Cola  разного обьема. Проверка верного подсчета суммы заказа.","nikitra123@gmail.com","C3277","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T56930","Проверка расчета скидки при добавлении Nuka Cola разных обьемов.","nikitra123@gmail.com","C3300","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T56942","Добавление в очередь Slurm разного объема.","nikitra123@gmail.com","C3301","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T56954","Проверка расчета скидки при добавлении Slurm разных обьемов.","nikitra123@gmail.com","C3302","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T57094","Ввод неверного промокода.","nikitra123@gmail.com","C3310","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T57070","Тестирование окна промокода.","nikitra123@gmail.com","C3308","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Тесты средней важности.","3","","Untested","","","Other",""
"T56978","Тестирование второго экрана. Оплата и список покупок.","nikitra123@gmail.com","C3304","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Тесты критической важности.","4","","Untested","","","Other",""
"T57058","Тестирование окна ввода купюр.","nikitra123@gmail.com","C3307","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Тесты критической важности.","4","","Untested","","","Other",""
"T57082","Monkey тест окна ввода купюр.","nikitra123@gmail.com","C3309","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Тесты критической важности.","4","","Untested","","","Other",""
